order_id|order_date|order_timestamp|store_id|product_id|channel|quantity|unit_price|discount_pct|net_revenue|status|tags
ORD-0000001|2026-05-11|2026-05-11 19:48:32|S10|P028|Web|2|3556.96|15.0|6046.832|Completed|"new|web"
ORD-0000002|2025-06-02|2025-06-02 19:00:28|S18|P120|App|5|736.49|0.0|3682.45|Completed|express
ORD-0000003|2026-05-09|2026-05-09 17:25:47|S19|P075|Store|1|982.0|0.0|982.0|Completed|"new|web"
ORD-0000004|2025-05-24|2025-05-24 09:15:51|S20|P118|App|2|5116.65|20.0|8186.639999999999|Completed|express
ORD-0000005|2025-09-10|2025-09-10 21:18:19|S17|P062|App|1|5935.36|0.0|5935.36|Shipped|gift
ORD-0000006|2025-01-17|2025-01-17 17:34:47|S09|P068|App|3|771.03|25.0|1734.8175|Processing|"sale|app"
ORD-0000007|2025-07-31|2025-07-31 19:35:35|S11|P060|Web|3|5858.0|30.0|12301.8|Completed|"new|web"
ORD-0000008|2026-08-18|2026-08-18 13:19:16|S11|P058|Web|4|6123.41|0.0|24493.64|Completed|
ORD-0000009|2025-10-02|2025-10-02 10:46:33|S12|P037|Store|3|1794.46|0.0|5383.38|Completed|"gift|express"
ORD-0000010|2026-03-17|2026-03-17 19:30:02|S21|P116|App|2|5441.85|0.0|10883.7|Completed|gift
ORD-0000011|2025-03-08|2025-03-08 08:43:03|S09|P010|Web|1|3919.0|10.0|3527.1|Completed|
ORD-0000012|2026-01-30|2026-01-30 10:33:24|S16|P081|Web|3|5497.84|20.0|13194.816|Shipped|gift
ORD-0000013|2025-08-19|2025-08-19 10:09:57|S14|P106|Store|1|5830.04|0.0|5830.04|Completed|express
ORD-0000014|2026-04-07|2026-04-07 09:10:35|S01|P016|App|2|247.85|10.0|446.13|Completed|"sale|app"
ORD-0000015|2026-07-30|2026-07-30 15:42:40|S07|P112|App|2|2968.0|0.0|5936.0|Shipped|
ORD-0000016|2025-11-26|2025-11-26 11:11:51|S22|P026|App|2|1833.51|0.0|3667.02|Completed|express
ORD-0000017|2025-03-05|2025-03-05 21:31:26|S13|P116|App|4|5698.27|0.0|22793.08|Completed|gift
ORD-0000018|2025-10-23|2025-10-23 21:02:31|S10|P079|Web|3|1378.51|10.0|3721.977|Completed|express
ORD-0000019|2025-03-18|2025-03-18 10:21:16|S11|P055|App|1|1184.0|0.0|1184.0|Processing|
ORD-0000020|2025-10-06|2025-10-06 19:36:15|S18|P114|Store|1|3409.27|0.0|3409.27|Shipped|"gift|express"
ORD-0000021|2025-02-07|2025-02-07 08:32:55|S15|P024|App|1|3536.95|0.0|3536.95|Processing|"new|web"
ORD-0000022|2026-02-02|2026-02-02 12:00:41|S09|P040|Web|5|5359.05|15.0|22775.962499999998|Completed|express
ORD-0000023|2025-07-12|2025-07-12 17:14:07|S14|P072|Store|2|1938.0|10.0|3488.4|Completed|"new|web"
ORD-0000024|2025-05-05|2025-05-05 10:53:24|S13|P015|Web|4|4347.24|25.0|13041.72|Completed|
ORD-0000025|2025-01-11|2025-01-11 09:05:46|S04|P020|App|1|738.06|15.0|627.3509999999999|Shipped|express
ORD-0000026|2026-07-05|2026-07-05 10:11:49|S12|P092|Web|2|3776.41|25.0|5664.615|Processing|"bulk|priority"
ORD-0000027|2026-06-04|2026-06-04 17:13:39|S05|P017|Store|2|6467.0|15.0|10993.9|Completed|
ORD-0000028|2026-05-19|2026-05-19 11:05:01|S02|P025|App|2|3227.04|20.0|5163.264|Shipped|
ORD-0000029|2025-02-06|2025-02-06 11:26:22|S23|P108|Web|1|3515.85|10.0|3164.265|Completed|express
ORD-0000030|2025-08-05|2025-08-05 10:52:25|S10|P012|App|5|6041.91|15.0|25678.1175|Completed|"sale|app"
ORD-0000031|2026-08-26|2026-08-26 20:20:10|S20|P076|Web|4|1289.0|25.0|3867.0|Shipped|express
ORD-0000032|2025-12-25|2025-12-25 20:26:25|S06|P083|App|4|3090.13|0.0|12360.52|Completed|express
ORD-0000033|2025-03-21|2025-03-21 19:16:22|S04|P011|Web|1|1249.78|0.0|1249.78|Completed|
ORD-0000034|2025-03-29|2025-03-29 08:16:35|S15|P066|Web|4|4515.53|5.0|17159.014|Cancelled|
ORD-0000035|2025-06-13|2025-06-13 11:30:18|S06|P050|Web|4|5793.0|15.0|19696.2|Completed|gift
ORD-0000036|2026-08-26|2026-08-26 20:19:21|S24|P053|Web|4|1633.52|0.0|6534.08|Completed|
ORD-0000037|2025-04-16|2025-04-16 15:45:52|S06|P039|Web|3|4744.44|10.0|12809.988|Processing|express
ORD-0000038|2026-07-14|2026-07-14 08:34:24|S19|P007|App|4|2258.15|10.0|8129.34|Shipped|
ORD-0000039|2026-02-25|2026-02-25 11:29:11|S05|P061|Store|2|5520.0|10.0|9936.0|Completed|express
ORD-0000040|2026-07-26|2026-07-26 19:34:44|S22|P002|App|1|4747.02|10.0|4272.318|Shipped|"sale|app"
ORD-0000041|2026-05-28|2026-05-28 20:18:15|S17|P051|Store|1|2413.38|10.0|2172.0420000000004|Completed|express
ORD-0000042|2025-07-25|2025-07-25 13:57:10|S12|P050|Store|1|7939.04|25.0|5954.28|Completed|
ORD-0000043|2026-05-29|2026-05-29 10:07:45||P073|Web|5|874.0|20.0|3496.0|Completed|"gift|express"
ORD-0000044|2025-04-15|2025-04-15 09:04:14|S02|P073|Store|2|868.38|10.0|1563.084|Shipped|
ORD-0000045|2025-06-30|2025-06-30 11:09:00|S13|P091|Web|4|4260.75|20.0|13634.400000000001|Completed|"sale|app"
ORD-0000046|2025-05-12|2025-05-12 19:11:06|S06|P106|Web|4|6452.92|30.0|18068.176|Completed|"gift|express"
ORD-0000047|2025-03-24|2025-03-24 19:34:44|S10|P062|App|2|5427.0|5.0|10311.3|Processing|"new|web"
ORD-0000048|2025-02-25|2025-02-25 11:35:15|S12|P072|Store|2|1736.78|25.0|2605.17|Processing|gift
ORD-0000049|2025-04-27|2025-04-27 21:40:23|S04|P063|Web|3|3589.97|25.0|8077.4325|Cancelled|"new|web"
ORD-0000050|2025-03-16|2025-03-16 20:17:30|S09|P059|App|4|6356.1|0.0|25424.4|Shipped|
ORD-0000051|2025-08-24|2025-08-24 21:49:16|S05|P072|Web|3|1778.0|30.0|3733.7999999999997|Completed|express
ORD-0000052|2025-02-14|2025-02-14 18:31:11|S12|P022|Web|3|3346.93|20.0|8032.632|Shipped|"sale|app"
ORD-0000053|2025-02-07|2025-02-07 16:01:04|S15|P004|Store|4|2706.25|15.0|9201.25|Shipped|
ORD-0000054|2026-09-06|2026-09-06 21:44:04|S21|P019|Web|5|5474.23|5.0|26002.592499999995|Completed|"gift|express"
ORD-0000055|2025-02-24|2025-02-24 17:38:54|S05|P021|App|5|3619.0|25.0|13571.25|Completed|"gift|express"
ORD-0000056|2025-02-15|2025-02-15 19:38:59|S01|P074|App|4|5527.01|15.0|18791.834|Shipped|
ORD-0000057|2025-01-19|2025-01-19 13:38:38|S15|P013|App|2|3924.51|15.0|6671.667|Processing|"gift|express"
ORD-0000058|2025-03-24|2025-03-24 11:22:27|S06|P043|Web|2|1415.99|10.0|2548.782|Processing|
ORD-0000059|2025-11-24|2025-11-24 16:01:48|S13|P013|App|1|3608.0|30.0|2525.6|Cancelled|express
ORD-0000060|2026-05-28|2026-05-28 13:43:49|S24|P019|Web|3|4840.68|10.0|13069.836000000001|Completed|
ORD-0000061|2026-04-01|2026-04-01 12:54:26|S10|P078|Web|2|5475.17|5.0|10402.823|Shipped|
ORD-0000062|2025-12-26|2025-12-26 17:45:44|S15|P048|App|5|5995.41|0.0|29977.05|Shipped|"bulk|priority"
ORD-0000063|2025-02-22|2025-02-22 16:32:05|S22|P098|Store|5|880.0|10.0|3960.0|Processing|
ORD-0000064|2026-04-26|2026-04-26 12:25:09|S09|P089|Web|2|914.33|5.0|1737.227|Processing|express
ORD-0000065|2025-01-24|2025-01-24 11:22:50|S04|P030|Store|4|256.64|0.0|1026.56|Completed|"new|web"
ORD-0000066|2026-01-27|2026-01-27 15:39:30|S05|P010|Web|2|4062.76|20.0|6500.416000000001|Completed|gift
ORD-0000067|2025-09-11|2025-09-11 12:34:48|S01|P116|App|4|5042.0|25.0|15126.0|Completed|"bulk|priority"
ORD-0000068|2026-07-01|2026-07-01 11:19:34|S11|P016|Store|4|234.77|25.0|704.3100000000001|Shipped|
ORD-0000069|2025-07-10|2025-07-10 11:06:07|S20|P082|Store|1|6860.7|10.0|6174.63|Processing|"new|web"
ORD-0000070|2026-01-31|2026-01-31 17:16:09|S20|P071|Store|3|6269.15|0.0|18807.449999999997|Completed|express
ORD-0000071|2025-09-30|2025-09-30 13:48:31|S06|P099|Store|1|6514.0|5.0|6188.299999999999|Completed|express
ORD-0000072|2025-11-20|2025-11-20 12:47:06|S24|P067|Web|2|2729.73|10.0|4913.514|Completed|
ORD-0000073|2026-08-06|2026-08-06 09:36:50|S11|P001|App|2|3605.21|0.0|7210.42|Shipped|"gift|express"
ORD-0000074|2026-03-18|2026-03-18 08:46:15|S07|P019|Store|3|5229.48|5.0|14904.017999999998|Cancelled|"gift|express"
ORD-0000075|2025-09-15|2025-09-15 17:43:41|S04|P100|Store|1|2500.0|15.0|2125.0|Shipped|gift
