order_id,order_date_raw,order_timestamp_raw,store_id,product_id,channel_raw,payment_raw,quantity,unit_price_raw,discount_pct,shipping_days,rating,returned_raw,status_raw,customer_segment,promo_code,tags,channel,payment,status,unit_price,returned,order_date,year,month,day_name,is_weekend,gross_revenue,net_revenue,order_size,service_fee,high_value,revenue_per_unit,revenue_cliped
ORD-0000001,2026-05-11,2026-05-11 19:48:32,S10,P028,Web,UPI,2,INR 3556.96,15,4,5.0,No,Completed,New,BULK10,new|web,Web,UPI,Completed,3556.96,False,2026-05-11,2026,5,Monday,False,7113.92,6046.832,High,0,No,3023.416,6046.832
ORD-0000002,02/06/2025,02/06/2025 19:00:28,S18,P120,App,COD,5,736.49,0,6,,N,Completed,New,NONE,express,App,COD,Completed,736.49,False,2025-06-02,2025,6,Monday,False,3682.45,3682.45,Standard,10,No,736.49,3682.45
ORD-0000003,"May 09, 2026",2026-05-09 17:25:47,S19,P075,STORE ,Card,1, 982 ,0,5,3.4,Yes,Completed,Premium,NONE,new|web,Store,Card,Completed,982.0,True,2026-05-09,2026,5,Saturday,True,982.0,982.0,Low,25,No,982.0,982.0
ORD-0000004,2025-05-24,24/05/2025 09:15:51,S20,P118,App, upi ,2,Rs.5116.65,20,7,4.3,No,Completed,Regular,NONE,express,App,UPI,Completed,5116.65,False,2025-05-24,2025,5,Saturday,True,10233.3,8186.639999999999,High,10,No,4093.3199999999997,8186.639999999999
ORD-0000005,10/09/2025,2025-09-10 21:18:19,S17,P062,App,UPI,1,INR 5935.36,0,3,,No,Shipped,Premium,NONE,gift,App,UPI,Shipped,5935.36,False,2025-09-10,2025,9,Wednesday,False,5935.36,5935.36,Standard,10,No,5935.36,5935.36
ORD-0000006,"Jan 17, 2025",17/01/2025 17:34:47,S09,P068,App,Card,3,771.03,25,5,2.8,No,Processing,New,NONE,sale|app,App,Card,Processing,771.03,False,2025-01-17,2025,1,Friday,False,2313.09,1734.8175,Low,10,No,578.2725,1734.8175
ORD-0000007,2025-07-31,2025-07-31 19:35:35,S11,P060,Web, upi ,3, 5858 ,30,2,4.4,No,Completed,Premium,SAVE5,new|web,Web,UPI,Completed,5858.0,False,2025-07-31,2025,7,Thursday,False,17574.0,12301.8,High,0,Yes,4100.599999999999,12301.8
ORD-0000008,18/08/2026,18/08/2026 13:19:16,S11,P058,Web,Card,4,Rs.6123.41,0,4,3.2,No,Completed ,Regular,SAVE5,,Web,Card,Completed,6123.41,False,2026-08-18,2026,8,Tuesday,False,24493.64,24493.64,Premium,0,Yes,6123.41,24493.64
ORD-0000009,"Oct 02, 2025",2025-10-02 10:46:33,S12,P037,Store,UPI,3,INR 1794.46,0,2,4.6,No,Completed,Regular,NONE,gift|express,Store,UPI,Completed,1794.46,False,2025-10-02,2025,10,Thursday,False,5383.38,5383.38,Standard,25,No,1794.46,5383.38
ORD-0000010,2026-03-17,17/03/2026 19:30:02,S21,P116,App,UPI,2,5441.85,0,5,2.5,No,Completed,Premium,NONE,gift,App,UPI,Completed,5441.85,False,2026-03-17,2026,3,Tuesday,False,10883.7,10883.7,High,10,Yes,5441.85,10883.7
