year,month,region,actual_revenue,actual_units,revenue,units,revenue_variance_pct,units_variance_pct,status
2025,1,CENTRAL,3114314.6265,1160,3535570,1304,-11.914779611208383,-11.042944785276074,Below
2025,1,EAST,3249821.7345,1155,2894168,1032,12.288634747533655,11.918604651162791,At / Above
2025,1,METRO,3094911.5609999998,1085,3127947,1090,-1.056138067556779,-0.45871559633027525,Below
2025,1,NORTH,3288218.019,1161,2803251,988,17.30016395249658,17.510121457489877,At / Above
2025,1,SOUTH,2783546.136,1017,2760284,1006,0.8427442973259252,1.0934393638170974,At / Above
2025,1,WEST,3280646.1745,1146,3418961,1199,-4.045522177644021,-4.420350291909925,Below
2025,2,CENTRAL,2756003.534,954,2439840,841,12.9583716145321,13.436385255648037,At / Above
2025,2,EAST,2837951.9305000002,926,2910297,946,-2.4858311540024864,-2.1141649048625792,Below
2025,2,METRO,2912102.6495,1018,2654820,918,9.691152300344273,10.893246187363834,At / Above
2025,2,NORTH,2778745.7865,961,3127925,1078,-11.163285996307458,-10.85343228200371,Below
2025,2,SOUTH,2509255.657,891,2557921,907,-1.902535027469569,-1.7640573318632855,Below
2025,2,WEST,3086141.9405,1093,2965236,1051,4.077447478042221,3.9961941008563278,At / Above
2025,3,CENTRAL,3123811.6225,1053,3373300,1137,-7.3959736015178,-7.387862796833773,Below
2025,3,EAST,3563420.1705,1236,3367065,1169,5.831641815646565,5.731394354148845,At / Above
2025,3,METRO,3344530.826,1186,3456246,1228,-3.232269172969751,-3.420195439739414,Below
2025,3,NORTH,3400828.786,1111,3596814,1172,-5.448855959746602,-5.2047781569965865,Below
2025,3,SOUTH,3071762.2035,1056,2695672,927,13.951630743651297,13.915857605177994,At / Above
2025,3,WEST,2897318.6965,1085,3101652,1156,-6.5878861812995115,-6.141868512110726,Below
2025,4,CENTRAL,3099325.25,1050,2741435,930,13.054850835420137,12.903225806451612,At / Above
2025,4,EAST,3254220.452,1081,3154176,1052,3.171809436125316,2.7566539923954374,At / Above
2025,4,METRO,2879511.0985,1026,2576888,920,11.743742781991296,11.521739130434783,At / Above
2025,4,NORTH,2886924.3765,1008,3136261,1092,-7.950123522882828,-7.6923076923076925,Below
2025,4,SOUTH,2979214.3965,1033,3281852,1135,-9.22154940259342,-8.986784140969164,Below
2025,4,WEST,3084679.539,1073,3523386,1226,-12.451274455878526,-12.479608482871125,Below
2025,5,CENTRAL,3143400.8455,1148,2819001,1035,11.507617255190752,10.917874396135266,At / Above
2025,5,EAST,3104460.7465,1082,2650663,925,17.12015999393359,16.972972972972972,At / Above
2025,5,METRO,3355380.464,1206,3342042,1199,0.3991112020734674,0.5838198498748958,At / Above
2025,5,NORTH,3257613.1505,1113,3773024,1291,-13.660417996280968,-13.787761425251743,Below
2025,5,SOUTH,3263613.7865,1142,3492125,1213,-6.543614947918533,-5.85325638911789,Below
2025,5,WEST,3335197.5085,1219,3806722,1389,-12.386627957071727,-12.239020878329733,Below
2025,6,CENTRAL,2927843.6055,979,2774560,933,5.524609505651349,4.930332261521972,At / Above
2025,6,EAST,3423649.1395,1180,3481835,1204,-1.671126302653628,-1.9933554817275747,Below
2025,6,METRO,3376820.0385,1100,3146512,1029,7.319471163624986,6.899902818270165,At / Above
2025,6,NORTH,2962475.1585,1063,3369877,1208,-12.089516664851569,-12.003311258278146,Below
2025,6,SOUTH,2744672.573,969,2365257,835,16.0411986097071,16.047904191616766,At / Above
2025,6,WEST,2998480.599,1030,2991012,1031,0.2497014054106078,-0.09699321047526674,At / Above
2025,7,CENTRAL,3016542.756,1062,2905088,1025,3.836536311464577,3.6097560975609753,At / Above
2025,7,EAST,3526330.9715,1236,3475287,1219,1.4687699605816724,1.3945857260049221,At / Above
2025,7,METRO,3538556.415,1175,3891008,1296,-9.058104866399656,-9.33641975308642,Below
2025,7,NORTH,3199303.0805,1083,3288734,1113,-2.7193114280449513,-2.6954177897574128,Below
2025,7,SOUTH,3053711.786,1037,3122303,1061,-2.1968147870338064,-2.2620169651272386,Below
2025,7,WEST,2841701.7535,1022,2794066,1001,1.7048900598625842,2.097902097902098,At / Above
2025,8,CENTRAL,2772002.7745,993,2701585,976,2.6065355892929456,1.7418032786885245,At / Above
2025,8,EAST,3069906.197,1028,2974087,993,3.221802085816594,3.5246727089627394,At / Above
2025,8,METRO,3351856.3865,1073,3591196,1136,-6.664621298865335,-5.545774647887324,Below
2025,8,NORTH,2639246.1825,983,2558921,954,3.139025491603692,3.039832285115304,At / Above
2025,8,SOUTH,3707325.941,1206,3280662,1070,13.005422106879653,12.710280373831775,At / Above
2025,8,WEST,3166454.954,1095,3273803,1131,-3.2790013937918707,-3.183023872679045,Below
2025,9,CENTRAL,2938271.49,1047,2836352,1007,3.5933300944311646,3.9721946375372394,At / Above
2025,9,EAST,3023909.023,1077,2651580,945,14.041779731330001,13.968253968253968,At / Above
2025,9,METRO,3178574.931,1122,3427172,1208,-7.253708567880461,-7.119205298013245,Below
2025,9,NORTH,3070075.053,1046,3088143,1059,-0.5850748168073875,-1.2275731822474032,Below
2025,9,SOUTH,3159875.6555,1102,3116572,1089,1.389464305653772,1.1937557392102847,At / Above
2025,9,WEST,2944350.217,1033,2835160,995,3.851289415764901,3.819095477386935,At / Above
2025,10,CENTRAL,2897371.8005,1050,3029526,1097,-4.36220714065501,-4.284412032816773,Below
2025,10,EAST,2860767.04,1057,2832594,1050,0.9946021208828388,0.6666666666666667,At / Above
2025,10,METRO,2765964.582,1049,2711642,1028,2.0033095076709957,2.0428015564202333,At / Above
2025,10,NORTH,3163789.623,1149,3111547,1122,1.6789919290950817,2.406417112299465,At / Above
2025,10,SOUTH,3365621.746,1193,3401098,1208,-1.0430823810428334,-1.2417218543046358,Below
2025,10,WEST,2521789.936,859,2747690,940,-8.221453803012704,-8.617021276595745,Below
2025,11,CENTRAL,3153738.903,1120,3198330,1134,-1.3941993790509442,-1.2345679012345678,Below
2025,11,EAST,2804668.226,1074,3209635,1232,-12.617222020572438,-12.824675324675324,Below
2025,11,METRO,2861630.476,990,3274269,1131,-12.602462534385545,-12.46684350132626,Below
2025,11,NORTH,2729689.9930000002,933,2675139,916,2.0391834966332687,1.8558951965065504,At / Above
2025,11,SOUTH,2895852.1985,1046,2939589,1060,-1.4878543054828433,-1.3207547169811322,Below
2025,11,WEST,3463147.316,1198,3758146,1295,-7.849580191935063,-7.4903474903474905,Below
2025,12,CENTRAL,2950176.9155,1071,3189195,1157,-7.494621197512222,-7.433016421780467,Below
2025,12,EAST,3462338.9655,1210,3896837,1356,-11.150018194243179,-10.766961651917404,Below
2025,12,METRO,2964244.895,1027,2620804,910,13.104409753648119,12.857142857142856,At / Above
2025,12,NORTH,3044996.803,1091,2646545,951,15.055546117674169,14.721345951629864,At / Above
2025,12,SOUTH,2891675.397,1024,2855328,1007,1.2729674839457983,1.6881827209533267,At / Above
2025,12,WEST,2515698.691,969,2811037,1071,-10.506382840211634,-9.523809523809524,Below
2026,1,CENTRAL,2764390.322,1038,2723568,1024,1.4988545173096526,1.3671875,At / Above
2026,1,EAST,3231492.4575,1130,3338588,1161,-3.207809484129218,-2.670111972437554,Below
2026,1,METRO,3095066.2715,1126,3450460,1256,-10.299894173530491,-10.35031847133758,Below
2026,1,NORTH,3253905.3695,1110,3163446,1073,2.8595199507119777,3.4482758620689653,At / Above
2026,1,SOUTH,3624110.5095,1243,3963712,1362,-8.567764017668281,-8.737151248164464,Below
2026,1,WEST,3093067.124,1081,2887498,1011,7.1192819527493985,6.9238377843719086,At / Above
2026,2,CENTRAL,2759805.71,1000,2428629,879,13.636364796763933,13.765642775881684,At / Above
2026,2,EAST,2808921.5235,1012,2465168,884,13.944425836291893,14.479638009049776,At / Above
2026,2,METRO,2897730.265,1021,2650501,935,9.327642773951043,9.197860962566844,At / Above
2026,2,NORTH,2632723.624,930,2892446,1024,-8.979333615908478,-9.1796875,Below
2026,2,SOUTH,2785010.7105,987,2985531,1059,-6.7164028609985955,-6.79886685552408,Below
2026,2,WEST,3016884.6975000002,1080,2972804,1070,1.482798647337673,0.9345794392523363,At / Above
2026,3,CENTRAL,3212539.5439999998,1056,3275109,1085,-1.9104541558769568,-2.672811059907834,Below
2026,3,EAST,3500992.7195,1263,3528326,1273,-0.7746812652799054,-0.7855459544383346,Below
2026,3,METRO,3118920.846,1044,3061392,1019,1.8791728076639616,2.4533856722276743,At / Above
2026,3,NORTH,3297589.5195,1133,3075223,1045,7.230907140717924,8.421052631578947,At / Above
2026,3,SOUTH,3012652.319,1026,3045879,1048,-1.090873307836584,-2.099236641221374,Below
2026,3,WEST,2974206.568,1049,3389506,1196,-12.25250617641627,-12.290969899665551,Below
2026,4,CENTRAL,3166490.67,1104,2791345,973,13.439602413890075,13.463514902363825,At / Above
2026,4,EAST,2896099.855,967,2949276,983,-1.8030236912381215,-1.627670396744659,Below
2026,4,METRO,3050403.1055,1083,2914790,1035,4.652585795203088,4.63768115942029,At / Above
2026,4,NORTH,3237662.5885,1178,2888068,1047,12.10479076323688,12.51193887297039,At / Above
2026,4,SOUTH,3029730.165,1103,3049771,1109,-0.6571258956820024,-0.5410279531109108,Below
2026,4,WEST,2979435.532,1070,2729914,981,9.140270792413245,9.072375127421,At / Above
2026,5,CENTRAL,3166014.5655,1098,3365416,1175,-5.9250159415656185,-6.553191489361702,Below
2026,5,EAST,3161595.3475,1092,3508158,1219,-9.878764083601704,-10.418375717801478,Below
2026,5,METRO,3358663.995,1071,3800378,1205,-11.622896590812806,-11.120331950207468,Below
2026,5,NORTH,3512067.368,1184,3447277,1167,1.8794650966545416,1.4567266495287061,At / Above
2026,5,SOUTH,2940690.697,1015,2903779,1005,1.2711606840603284,0.9950248756218906,At / Above
2026,5,WEST,3352801.019,1091,3757448,1225,-10.7691970986691,-10.938775510204081,Below
2026,6,CENTRAL,2973194.563,1064,2842395,1010,4.601737724700476,5.346534653465347,At / Above
2026,6,EAST,2930061.789,1004,2940296,1006,-0.34806737144832106,-0.19880715705765406,Below
2026,6,METRO,2818636.483,948,2627427,881,7.2774422657603814,7.604994324631101,At / Above
2026,6,NORTH,3650333.3785,1254,3631905,1252,0.5074025476988001,0.1597444089456869,At / Above
2026,6,SOUTH,2996904.6,1069,3474677,1238,-13.75012411225561,-13.651050080775445,Below
2026,6,WEST,2990782.1095,1053,2568199,904,16.454453471090044,16.48230088495575,At / Above
2026,7,CENTRAL,2873401.0100000002,1016,2728139,966,5.32458243513253,5.175983436853002,At / Above
