campaign_id,product_id,campaign_start,campaign_end,promo_code,promo_type,campaign_discount_pct
CMP-P001-1,P001,2025-09-16,2025-12-04,PROMO_08,AppPush,5
CMP-P001-2,P001,2026-01-10,2026-03-10,PROMO_07,Bundle,10
CMP-P001-3,P001,2026-05-02,2026-07-21,PROMO_07,Percent,15
CMP-P002-1,P002,2025-05-04,2025-06-21,PROMO_08,Seasonal,5
CMP-P002-2,P002,2026-01-12,2026-02-28,PROMO_02,Bundle,5
CMP-P002-3,P002,2026-05-09,2026-08-06,PROMO_05,AppPush,15
CMP-P003-1,P003,2025-01-16,2025-04-07,PROMO_06,AppPush,20
CMP-P003-2,P003,2025-05-08,2025-07-18,PROMO_07,Seasonal,20
CMP-P003-3,P003,2026-01-02,2026-03-17,PROMO_03,AppPush,15
CMP-P004-1,P004,2025-05-09,2025-07-12,PROMO_07,AppPush,25
CMP-P004-2,P004,2025-09-07,2025-11-08,PROMO_04,Seasonal,10
CMP-P004-3,P004,2026-05-11,2026-06-21,PROMO_07,Bundle,10
CMP-P005-1,P005,2025-05-02,2025-06-07,PROMO_04,Seasonal,25
CMP-P005-2,P005,2026-01-12,2026-03-22,PROMO_04,Percent,5
CMP-P005-3,P005,2026-05-07,2026-06-28,PROMO_02,Bundle,5
CMP-P006-1,P006,2025-05-06,2025-06-17,PROMO_05,AppPush,5
CMP-P006-2,P006,2026-01-08,2026-02-27,PROMO_02,AppPush,15
CMP-P006-3,P006,2026-05-12,2026-07-25,PROMO_08,Seasonal,20
CMP-P007-1,P007,2025-05-17,2025-07-19,PROMO_06,Bundle,25
CMP-P007-2,P007,2025-09-12,2025-11-29,PROMO_04,Seasonal,5
CMP-P007-3,P007,2026-05-03,2026-07-04,PROMO_06,Seasonal,15
CMP-P008-1,P008,2025-05-18,2025-06-27,PROMO_08,Percent,10
CMP-P008-2,P008,2025-09-15,2025-11-29,PROMO_08,AppPush,20
CMP-P008-3,P008,2026-05-07,2026-06-11,PROMO_01,Bundle,5
CMP-P009-1,P009,2025-05-18,2025-08-08,PROMO_04,Bundle,25
CMP-P009-2,P009,2026-01-05,2026-03-03,PROMO_01,Seasonal,20
CMP-P009-3,P009,2026-05-02,2026-06-18,PROMO_05,AppPush,25
CMP-P010-1,P010,2025-01-01,2025-02-08,PROMO_03,Seasonal,5
CMP-P010-2,P010,2025-09-07,2025-10-18,PROMO_08,AppPush,20
CMP-P010-3,P010,2026-01-13,2026-03-25,PROMO_07,Percent,25
CMP-P011-1,P011,2025-05-01,2025-07-24,PROMO_02,Percent,20
CMP-P011-2,P011,2025-09-05,2025-11-26,PROMO_04,Percent,25
CMP-P011-3,P011,2026-01-10,2026-02-28,PROMO_06,AppPush,5
CMP-P012-1,P012,2025-05-13,2025-07-01,PROMO_02,Bundle,25
CMP-P012-2,P012,2025-09-10,2025-11-03,PROMO_07,Seasonal,25
CMP-P012-3,P012,2026-01-06,2026-03-21,PROMO_05,Bundle,10
CMP-P013-1,P013,2025-01-04,2025-03-17,PROMO_01,AppPush,10
CMP-P013-2,P013,2025-05-09,2025-07-22,PROMO_04,Seasonal,15
CMP-P013-3,P013,2025-09-18,2025-11-27,PROMO_03,Seasonal,15
CMP-P014-1,P014,2025-01-18,2025-04-10,PROMO_06,AppPush,15
CMP-P014-2,P014,2025-05-02,2025-06-27,PROMO_04,Seasonal,10
CMP-P014-3,P014,2026-05-09,2026-07-01,PROMO_02,Percent,10
CMP-P015-1,P015,2025-01-01,2025-02-21,PROMO_04,Seasonal,20
CMP-P015-2,P015,2025-05-16,2025-07-08,PROMO_04,Bundle,25
CMP-P015-3,P015,2026-01-18,2026-04-15,PROMO_07,AppPush,15
CMP-P016-1,P016,2025-05-05,2025-07-09,PROMO_03,Seasonal,25
CMP-P016-2,P016,2025-09-06,2025-11-09,PROMO_08,AppPush,10
CMP-P016-3,P016,2026-05-11,2026-07-19,PROMO_06,Percent,10
CMP-P017-1,P017,2025-01-03,2025-02-26,PROMO_07,Percent,10
CMP-P017-2,P017,2025-05-02,2025-07-06,PROMO_03,Seasonal,15
CMP-P017-3,P017,2025-09-15,2025-11-23,PROMO_04,Seasonal,15
CMP-P018-1,P018,2025-09-15,2025-11-25,PROMO_08,Bundle,20
CMP-P018-2,P018,2026-01-09,2026-02-23,PROMO_02,AppPush,10
CMP-P018-3,P018,2026-05-02,2026-06-29,PROMO_06,Bundle,25
CMP-P019-1,P019,2025-09-01,2025-11-26,PROMO_08,AppPush,5
CMP-P019-2,P019,2026-01-06,2026-02-12,PROMO_01,Percent,15
CMP-P019-3,P019,2026-05-02,2026-07-30,PROMO_04,Bundle,15
CMP-P020-1,P020,2025-01-03,2025-03-13,PROMO_04,Seasonal,5
CMP-P020-2,P020,2025-05-17,2025-07-29,PROMO_04,Percent,25
CMP-P020-3,P020,2025-09-06,2025-11-06,PROMO_04,Percent,15
CMP-P021-1,P021,2025-01-16,2025-02-28,PROMO_01,Percent,15
CMP-P021-2,P021,2025-05-05,2025-07-05,PROMO_01,Bundle,15
CMP-P021-3,P021,2026-01-08,2026-03-14,PROMO_07,Bundle,25
CMP-P022-1,P022,2025-05-05,2025-07-29,PROMO_04,Seasonal,20
CMP-P022-2,P022,2026-01-07,2026-02-23,PROMO_06,Bundle,10
