order_id,order_date_raw,order_timestamp_raw,store_id,product_id,channel_raw,payment_raw,quantity,unit_price_raw,discount_pct,shipping_days,rating,returned_raw,status_raw,customer_segment,promo_code,tags
ORD-0000001,2026-05-11,2026-05-11 19:48:32,S10,P028,Web,UPI,2,INR 3556.96,15.0,4.0,5.0,No,Completed,New,BULK10,new|web
ORD-0000002,02/06/2025,02/06/2025 19:00:28,S18,P120,App,COD,5,736.49,0.0,6.0,,N,Completed,New,NONE,express
ORD-0000003,"May 09, 2026",2026-05-09 17:25:47,S19,P075,STORE ,Card,1, 982 ,0.0,5.0,3.4,Yes,Completed,Premium,NONE,new|web
ORD-0000004,2025-05-24,24/05/2025 09:15:51,S20,P118,App, upi ,2,Rs.5116.65,20.0,7.0,4.3,No,Completed,Regular,NONE,express
ORD-0000005,10/09/2025,2025-09-10 21:18:19,S17,P062,App,UPI,1,INR 5935.36,0.0,3.0,,No,Shipped,Premium,NONE,gift
ORD-0000006,"Jan 17, 2025",17/01/2025 17:34:47,S09,P068,App,Card,3,771.03,25.0,5.0,2.8,No,Processing,New,NONE,sale|app
ORD-0000007,2025-07-31,2025-07-31 19:35:35,S11,P060,Web, upi ,3, 5858 ,30.0,2.0,4.4,No,Completed,Premium,SAVE5,new|web
ORD-0000008,18/08/2026,18/08/2026 13:19:16,S11,P058,Web,Card,4,Rs.6123.41,0.0,4.0,3.2,No,Completed ,Regular,SAVE5,
ORD-0000009,"Oct 02, 2025",2025-10-02 10:46:33,S12,P037,Store,UPI,3,INR 1794.46,0.0,2.0,4.6,No,Completed,Regular,NONE,gift|express
ORD-0000010,2026-03-17,17/03/2026 19:30:02,S21,P116,App,UPI,2,5441.85,0.0,5.0,2.5,No,Completed,Premium,NONE,gift
ORD-0000011,08/03/2025,2025-03-08 08:43:03,S09,P010,Web,UPI,1, 3919 ,10.0,4.0,2.9,No,Completed,New,SAVE5,
ORD-0000012,"Jan 30, 2026",30/01/2026 10:33:24,S16,P081,Web,UPI,3,Rs.5497.84,20.0,5.0,,N,Shipped,Regular,NONE,gift
ORD-0000013,2025-08-19,2025-08-19 10:09:57,S14,P106,Store,UPI,1,INR 5830.04,0.0,6.0,,N,Completed,New,SAVE5,express
ORD-0000014,07/04/2026,07/04/2026 09:10:35,S01,P016, APP,UPI,2,247.85,10.0,4.0,4.2,No,Completed,New,BULK10,sale|app
ORD-0000015,"Jul 30, 2026",2026-07-30 15:42:40,S07,P112, APP, upi ,2, 2968 ,0.0,,,No,Shipped,Regular,NONE,
ORD-0000016,2025-11-26,26/11/2025 11:11:51,S22,P026,App,card,2,Rs.1833.51,0.0,4.0,4.5,No,Completed ,New,SAVE5,express
ORD-0000017,05/03/2025,2025-03-05 21:31:26,S13,P116,App,card,4,INR 5698.27,0.0,4.0,4.1,No,Completed,Regular,APPONLY,gift
ORD-0000018,"Oct 23, 2025",23/10/2025 21:02:31,S10,P079, WEB ,UPI,3,1378.51,10.0,3.0,3.6,Y,Completed,Business,NONE,express
ORD-0000019,2025-03-18,2025-03-18 10:21:16,S11,P055,App,Wallet,1, 1184 ,0.0,,,No,Processing,Regular,NONE,
ORD-0000020,06/10/2025,06/10/2025 19:36:15,S18,P114,Store,UPI,1,Rs.3409.27,0.0,3.0,3.6,No,Shipped,Premium,NONE,gift|express
ORD-0000021,"Feb 07, 2025",2025-02-07 08:32:55,S15,P024, APP,card,1,INR 3536.95,0.0,2.0,,No,Processing,Regular,FESTIVE,new|web
ORD-0000022,2026-02-02,02/02/2026 12:00:41,S09,P040,web,UPI,5,5359.05,15.0,4.0,4.1,No,Completed,Regular,FESTIVE,express
ORD-0000023,12/07/2025,2025-07-12 17:14:07,S14,P072,Store,UPI,2, 1938 ,10.0,5.0,4.2,Yes,Completed,Regular,NONE,new|web
