product_id,category,brand_code,base_price,unit_cost,launch_date,active
P001,Electronics,BRAND_08,3846.55,3154.17,2024-04-21,True
P002,Stationery,BRAND_13,4266.02,3360.85,2026-01-14,True
P003,Fitness,BRAND_12,658.75,540.17,2025-11-07,True
P004,Kitchen,BRAND_09,2772.85,2262.08,2024-04-05,True
P005,Kitchen,BRAND_16,385.5,316.11,2025-09-20,True
P006,Accessories,BRAND_11,3271.66,2682.76,2024-04-03,True
P007,Electronics,BRAND_02,2224.51,1824.1,2025-07-30,True
P008,Stationery,BRAND_14,1042.06,854.49,2024-03-11,True
P009,Home,BRAND_11,779.71,639.36,2025-01-25,True
P010,Electronics,BRAND_12,3869.17,1828.89,2025-06-10,True
P011,Fitness,BRAND_11,1208.38,990.87,2025-08-06,False
P012,Accessories,BRAND_10,6022.27,3652.74,2024-11-30,True
P013,Stationery,BRAND_02,3827.17,1944.59,2026-01-07,True
P014,Stationery,BRAND_11,2333.03,1093.58,2025-09-11,True
P015,Stationery,BRAND_15,3890.04,1047.42,2024-06-15,True
P016,Stationery,BRAND_06,265.49,217.7,2025-06-20,True
P017,Fitness,BRAND_11,6235.61,3442.43,2025-08-07,True
P018,Electronics,BRAND_01,3197.1,504.8,2024-09-23,True
P019,Accessories,BRAND_07,5113.85,344.89,2025-08-13,True
P020,Kitchen,BRAND_08,647.82,531.21,2025-12-19,True
P021,Fitness,BRAND_18,3224.88,673.7,2025-10-15,True
P022,Kitchen,BRAND_04,3250.71,2665.58,2025-09-02,True
P023,Home,BRAND_05,6103.33,1351.68,2025-05-22,True
P024,Accessories,BRAND_08,3767.62,664.19,2024-08-04,True
P025,Stationery,BRAND_18,3140.86,2575.51,2025-09-28,True
P026,Fitness,BRAND_16,1823.3,753.65,2024-10-18,True
P027,Kitchen,BRAND_01,2235.41,1245.89,2025-03-01,False
P028,Stationery,BRAND_05,3441.89,704.42,2024-09-08,True
P029,Fitness,BRAND_15,2920.26,546.97,2024-09-07,True
P030,Kitchen,BRAND_02,257.89,157.34,2024-05-06,True
P031,Kitchen,BRAND_16,5391.74,298.78,2026-02-08,True
P032,Home,BRAND_06,5837.51,791.27,2024-04-28,True
P033,Electronics,BRAND_17,1014.79,290.47,2024-03-10,True
P034,Fitness,BRAND_06,3654.75,2511.42,2026-01-18,True
P035,Accessories,BRAND_08,812.71,666.42,2025-03-20,True
P036,Electronics,BRAND_12,4408.89,1695.69,2024-12-16,True
P037,Accessories,BRAND_03,1914.27,1383.3,2025-08-12,False
P038,Stationery,BRAND_11,4327.12,2153.69,2024-11-02,True
P039,Home,BRAND_10,4758.23,3683.77,2024-04-12,True
P040,Fitness,BRAND_15,5023.97,3585.17,2025-08-06,True
P041,Electronics,BRAND_18,807.39,249.55,2024-05-20,True
P042,Stationery,BRAND_12,5964.16,819.59,2025-03-18,True
P043,Stationery,BRAND_08,1588.77,1047.76,2026-01-29,False
P044,Kitchen,BRAND_08,358.69,294.13,2026-01-18,True
P045,Electronics,BRAND_08,3659.96,2429.19,2024-10-15,True
P046,Accessories,BRAND_15,2486.48,1789.16,2025-09-16,True
P047,Kitchen,BRAND_06,5414.06,273.42,2025-05-05,True
P048,Accessories,BRAND_04,5276.64,1613.03,2025-01-18,False
P049,Stationery,BRAND_07,2143.35,1757.55,2024-04-21,True
P050,Stationery,BRAND_01,6199.5,489.9,2024-10-28,True
P051,Stationery,BRAND_02,1976.06,1620.37,2025-06-05,True
P052,Home,BRAND_02,3406.06,284.6,2026-02-28,True
P053,Kitchen,BRAND_14,1753.06,1437.51,2024-01-04,True
P054,Kitchen,BRAND_14,6091.96,479.34,2025-07-28,True
P055,Kitchen,BRAND_13,1170.2,959.56,2025-11-08,True
P056,Electronics,BRAND_09,406.53,333.35,2026-01-30,True
P057,Fitness,BRAND_13,2895.92,2374.65,2024-12-05,True
P058,Electronics,BRAND_03,6451.36,3382.37,2024-04-04,True
P059,Stationery,BRAND_17,5808.9,3289.24,2024-08-04,True
P060,Stationery,BRAND_10,4896.12,2723.46,2025-11-11,True
P061,Accessories,BRAND_17,5803.26,3287.25,2025-12-03,True
P062,Stationery,BRAND_03,5820.19,625.7,2025-05-24,True
P063,Kitchen,BRAND_09,3430.32,2283.96,2024-04-08,True
P064,Accessories,BRAND_13,2135.63,1751.22,2024-04-07,True
P065,Kitchen,BRAND_09,5045.44,3611.77,2025-01-17,True
P066,Home,BRAND_09,4341.4,1981.36,2025-04-15,True
