store_id,city,region
S01,DEMO_CITY_01,NORTH
S02,DEMO_CITY_02,SOUTH
S03,DEMO_CITY_03,EAST
S04,DEMO_CITY_04,WEST
S05,DEMO_CITY_05,CENTRAL
S06,DEMO_CITY_06,METRO
S07,DEMO_CITY_07,NORTH
S08,DEMO_CITY_08,SOUTH
S09,DEMO_CITY_09,EAST
S10,DEMO_CITY_10,WEST
S11,DEMO_CITY_11,CENTRAL
S12,DEMO_CITY_12,METRO
S13,DEMO_CITY_01,NORTH
S14,DEMO_CITY_02,SOUTH
S15,DEMO_CITY_03,EAST
S16,DEMO_CITY_04,WEST
S17,DEMO_CITY_05,CENTRAL
S18,DEMO_CITY_06,METRO
S19,DEMO_CITY_07,NORTH
S20,DEMO_CITY_08,SOUTH
S21,DEMO_CITY_09,EAST
S22,DEMO_CITY_10,WEST
S23,DEMO_CITY_11,CENTRAL
S24,DEMO_CITY_12,METRO
