year,region,revenue_01,units_01,revenue_02,units_02,revenue_03,units_03,revenue_04,units_04,revenue_05,units_05,revenue_06,units_06,revenue_07,units_07,revenue_08,units_08,revenue_09,units_09,revenue_10,units_10,revenue_11,units_11,revenue_12,units_12
2025,NORTH,2803251,988,3127925,1078,3596814,1172,3136261,1092,3773024,1291,3369877,1208,3288734,1113,2558921,954,3088143,1059,3111547,1122,2675139,916,2646545,951
2025,SOUTH,2760284,1006,2557921,907,2695672,927,3281852,1135,3492125,1213,2365257,835,3122303,1061,3280662,1070,3116572,1089,3401098,1208,2939589,1060,2855328,1007
2025,EAST,2894168,1032,2910297,946,3367065,1169,3154176,1052,2650663,925,3481835,1204,3475287,1219,2974087,993,2651580,945,2832594,1050,3209635,1232,3896837,1356
2025,WEST,3418961,1199,2965236,1051,3101652,1156,3523386,1226,3806722,1389,2991012,1031,2794066,1001,3273803,1131,2835160,995,2747690,940,3758146,1295,2811037,1071
2025,CENTRAL,3535570,1304,2439840,841,3373300,1137,2741435,930,2819001,1035,2774560,933,2905088,1025,2701585,976,2836352,1007,3029526,1097,3198330,1134,3189195,1157
2025,METRO,3127947,1090,2654820,918,3456246,1228,2576888,920,3342042,1199,3146512,1029,3891008,1296,3591196,1136,3427172,1208,2711642,1028,3274269,1131,2620804,910
2026,NORTH,3163446,1073,2892446,1024,3075223,1045,2888068,1047,3447277,1167,3631905,1252,2739888,899,2768773,1034,1443090,498,3322423,1189,3220198,1153,3048695,1091
2026,SOUTH,3963712,1362,2985531,1059,3045879,1048,3049771,1109,2903779,1005,3474677,1238,3207621,1076,3067200,1087,1218311,429,2646419,917,3008929,1043,3347428,1160
2026,EAST,3338588,1161,2465168,884,3528326,1273,2949276,983,3508158,1219,2940296,1006,3172271,1054,2778483,919,1478694,479,3573661,1233,3057288,1055,2821564,973
2026,WEST,2887498,1011,2972804,1070,3389506,1196,2729914,981,3757448,1225,2568199,904,3309255,1139,2388409,860,1347366,427,2734194,972,2955937,1050,3428851,1218
2026,CENTRAL,2723568,1024,2428629,879,3275109,1085,2791345,973,3365416,1175,2842395,1010,2728139,966,3391959,1253,1383464,437,3266998,1143,3277037,1147,3222190,1127
2026,METRO,3450460,1256,2650501,935,3061392,1019,2914790,1035,3800378,1205,2627427,881,3104003,1054,3068260,1109,1160997,443,3119057,1075,3122626,1076,3067644,1057
